Bit 0 Probability,Bit 1 Probability,Entropy,Redundancy
0.49950000000000006,0.5005000000000001,0.9773091024,7.213476407308406e-07
0.49887500000000007,0.501125,0.9761990499,3.6518249035832895e-06
0.5002500000000001,0.49975,0.9748467225,1.8033688764518274e-07
0.5165000000000001,0.48350000000000004,0.9751860047,0.0007856900887689422
0.5042500000000001,0.49575,0.9794908178,5.211798595017303e-05
0.495849609375,0.504150390625,0.9779002418,4.9703556895597245e-05
0.4947509765625,0.5052490234375,0.9781046657,7.950044067606132e-05
0.4979248046875,0.5020751953125,0.9753886584,1.2425782198843827e-05
0.4893798828125,0.5106201171875,0.9723060754,0.00032545864531718927
0.49365234375,0.50634765625,0.9741062462,0.0001162633951478087
0.4947509765625,0.5052490234375,0.977514373,7.950044067606132e-05
0.490966796875,0.509033203125,0.9759759243,0.00023545705867600297
0.509521484375,0.490478515625,0.9754647464,0.0002616014242575737
0.49808349609375,0.50191650390625,0.9978129122,1.0598026853880782e-05
0.5002319335937501,0.49976806640625,0.9975717168,1.5521434804099954e-07
0.49942260742187494,0.5005773925781251,0.9997739734,9.619378761316355e-07
